role,features
Lawyer,"Civil Law, Court Procedures, Advocacy"
Sales Executive,"Target Achievement, CRM, Lead Generation, Negotiation, Product Knowledge"
Mechanical Engineer,"Material Science, CAD, Thermodynamics, Maintenance"
Mobile App Developer,"Kotlin, Flutter, React Native"
Architect,"3D Modeling, Building Codes, AutoCAD"
Professor,"Academic Writing, Teaching, Grading, Research, Seminars"
Web Developer,"CSS, JavaScript, HTML, Node.js"
Electrician,"Wiring, Safety Compliance, Troubleshooting, Installation, Circuit Design"
Civil Engineer,"Structural Design, AutoCAD, Concrete Technology, Project Management, Site Supervision"
Plumber,"Repair, Water Systems, Pipe Fitting, Blueprint Reading, Sanitation"
Doctor,"Surgery, Patient Care, Prescribing, Diagnosis, Physiology"
Journalist,"Reporting, Interviewing, Writing"
Electrician,"Troubleshooting, Safety Compliance, Circuit Design"
Doctor,"Physiology, Anatomy, Patient Care, Surgery"
Doctor,"Surgery, Anatomy, Patient Care, Physiology, Prescribing, Diagnosis"
Machine Learning Engineer,"Python, ML algorithms, Keras, PyTorch, TensorFlow, Scikit-learn"
Mobile App Developer,"Kotlin, React Native, Android Studio"
Police Officer,"Law Enforcement, Investigation, Physical Fitness, Traffic Control, Firearms Training"
Software Engineer,"Python, Linux, OOP, Java, C++"
Data Scientist,"SQL, Matplotlib, Scikit-learn"
Mechanical Engineer,"Maintenance, CAD, Thermodynamics, Material Science, SolidWorks"
Professor,"Research, Seminars, Teaching, Grading, Academic Writing"
Accountant,"Tally, Financial Analysis, Taxation, Excel, Bookkeeping"
Electrician,"Circuit Design, Safety Compliance, Troubleshooting"
UI/UX Designer,"Adobe XD, Design Systems, User Research, Prototyping, Figma"
Police Officer,"Law Enforcement, Traffic Control, Physical Fitness"
Software Engineer,"Java, OOP, Python, Linux, Git"
Cybersecurity Analyst,"Vulnerability Assessment, Firewalls, IDS/IPS, Networking"
Professor,"Academic Writing, Seminars, Teaching"
Lawyer,"Court Procedures, Advocacy, Drafting, Legal Research, Criminal Law"
Business Analyst,"Data Modeling, Power BI, SQL, Excel, Requirement Gathering, UML"
Cloud Engineer,"Cloud Architecture, Terraform, AWS, Linux, Networking, GCP"
Electrician,"Safety Compliance, Circuit Design, Troubleshooting"
Journalist,"Reporting, Writing, Editing, Research"
DevOps Engineer,"Docker, CI/CD, Monitoring, AWS, Kubernetes"
Accountant,"Bookkeeping, Taxation, Financial Analysis, Excel"
Lawyer,"Civil Law, Criminal Law, Court Procedures, Advocacy"
Nurse,"First Aid, IV Insertion, Emergency Response, Patient Monitoring, Medical Records"
Electrician,"Installation, Troubleshooting, Circuit Design, Safety Compliance, Wiring"
Web Developer,"React, Node.js, JavaScript, MongoDB"
Civil Engineer,"AutoCAD, Site Supervision, Structural Design, Project Management, Concrete Technology"
Business Analyst,"Requirement Gathering, Excel, Data Modeling, SQL"
Product Manager,"Scrum, Analytics, Wireframing, Customer Research, Roadmaps"
Journalist,"Reporting, Interviewing, Editing, Research, Writing"
Teacher,"Lesson Planning, Communication, Classroom Management, Subject Knowledge"
AI Researcher,"NLP, Research, Python, TensorFlow, Deep Learning"
Police Officer,"Firearms Training, Traffic Control, Law Enforcement, Physical Fitness"
DevOps Engineer,"Monitoring, Kubernetes, Terraform"
Web Developer,"React, MongoDB, JavaScript, Express, HTML"
Product Manager,"Agile, Roadmaps, Analytics, Wireframing, Customer Research"
Business Analyst,"SQL, UML, Power BI"
AI Researcher,"TensorFlow, Python, Research, Mathematics"
Army Personnel,"Strategy, First Aid, Combat Training, Discipline, Survival Skills"
Software Engineer,"Java, Agile, Git, C++, Linux"
AI Researcher,"Research, NLP, Deep Learning"
Army Personnel,"Strategy, Discipline, Survival Skills, First Aid"
Plumber,"Sanitation, Water Systems, Pipe Fitting"
Cybersecurity Analyst,"Ethical Hacking, Firewalls, Networking, Python, Vulnerability Assessment, IDS/IPS"
Software Engineer,"OOP, C++, Java"
Mechanical Engineer,"Thermodynamics, Maintenance, CAD"
HR Manager,"Training, Payroll, Recruitment, Employee Relations"
Cybersecurity Analyst,"IDS/IPS, Python, Networking, Ethical Hacking, Firewalls, Vulnerability Assessment"
DevOps Engineer,"Kubernetes, Docker, Monitoring"
Electrician,"Installation, Wiring, Circuit Design, Troubleshooting"
Plumber,"Water Systems, Sanitation, Repair, Pipe Fitting"
Lawyer,"Advocacy, Civil Law, Court Procedures, Legal Research, Drafting, Criminal Law"
Electrician,"Installation, Wiring, Circuit Design, Troubleshooting"
DevOps Engineer,"CI/CD, Docker, Linux, AWS"
UI/UX Designer,"Wireframing, Figma, Prototyping"
Doctor,"Prescribing, Physiology, Patient Care"
Professor,"Teaching, Grading, Seminars, Research, Academic Writing"
Cybersecurity Analyst,"IDS/IPS, Firewalls, Python"
Plumber,"Water Systems, Repair, Pipe Fitting"
HR Manager,"Training, Employee Relations, Compliance, Recruitment"
Plumber,"Blueprint Reading, Sanitation, Pipe Fitting, Water Systems"
Software Engineer,"Java, Agile, Python"
Civil Engineer,"Project Management, Site Supervision, Concrete Technology"
Product Manager,"Agile, Analytics, Customer Research"
Electrician,"Safety Compliance, Troubleshooting, Circuit Design, Wiring"
Data Scientist,"Python, Jupyter, SQL, Matplotlib"
Product Manager,"Wireframing, Customer Research, Scrum, Agile"
Cloud Engineer,"Terraform, Linux, Azure, GCP, AWS"
Plumber,"Water Systems, Blueprint Reading, Sanitation, Pipe Fitting, Repair"
Mechanical Engineer,"Material Science, CAD, Maintenance, SolidWorks, Thermodynamics"
Sales Executive,"Product Knowledge, Target Achievement, Negotiation, Lead Generation"
Doctor,"Diagnosis, Anatomy, Patient Care, Surgery, Physiology, Prescribing"
Machine Learning Engineer,"NLP, Keras, TensorFlow, Scikit-learn"
Plumber,"Blueprint Reading, Water Systems, Sanitation, Pipe Fitting, Repair"
Software Engineer,"Java, Agile, OOP, Linux, C++"
Data Scientist,"Python, Matplotlib, NumPy, Jupyter, Scikit-learn"
Army Personnel,"Combat Training, Strategy, Discipline, First Aid, Survival Skills"
HR Manager,"Training, Payroll, Employee Relations, Recruitment, Compliance"
Business Analyst,"Requirement Gathering, Power BI, Excel, Data Modeling, UML, SQL"
Lawyer,"Legal Research, Drafting, Criminal Law, Civil Law, Advocacy"
Professor,"Grading, Teaching, Seminars, Academic Writing"
Professor,"Seminars, Academic Writing, Grading, Teaching, Research"
Cybersecurity Analyst,"Vulnerability Assessment, Ethical Hacking, Python, IDS/IPS, Firewalls"
DevOps Engineer,"CI/CD, Terraform, Monitoring, Kubernetes, Linux"
Civil Engineer,"Concrete Technology, Project Management, Site Supervision, Structural Design, AutoCAD"
Architect,"Blueprints, Building Codes, Design, 3D Modeling, AutoCAD"
Software Engineer,"C++, Java, OOP"
Nurse,"First Aid, Medical Records, Patient Monitoring, Emergency Response, IV Insertion"
Web Developer,"CSS, Express, JavaScript"
Product Manager,"Customer Research, Roadmaps, Analytics, Agile, Wireframing, Scrum"
UI/UX Designer,"Prototyping, User Research, Figma, Design Systems, Wireframing"
Data Scientist,"Matplotlib, Jupyter, Pandas, Scikit-learn, SQL"
Mechanical Engineer,"SolidWorks, CAD, Material Science, Thermodynamics"
Web Developer,"MongoDB, React, CSS, Express"
Electrician,"Installation, Troubleshooting, Safety Compliance"
Mechanical Engineer,"Thermodynamics, SolidWorks, Material Science, Maintenance"
Professor,"Grading, Academic Writing, Research, Teaching"
Lawyer,"Criminal Law, Court Procedures, Advocacy, Civil Law, Legal Research"
UI/UX Designer,"Figma, Prototyping, Design Systems, Adobe XD, Wireframing, User Research"
Cybersecurity Analyst,"Firewalls, IDS/IPS, Python, Ethical Hacking, Networking, Vulnerability Assessment"
Plumber,"Water Systems, Sanitation, Blueprint Reading"
Data Scientist,"Pandas, Python, SQL, Scikit-learn, Matplotlib, Jupyter"
Data Scientist,"Scikit-learn, Matplotlib, Jupyter, Python"
Police Officer,"Traffic Control, Investigation, Physical Fitness, Firearms Training, Law Enforcement"
Data Scientist,"SQL, Scikit-learn, Matplotlib, Pandas, NumPy"
Business Analyst,"Data Modeling, Excel, Power BI, UML"
Mechanical Engineer,"Material Science, SolidWorks, Maintenance, Thermodynamics"
Police Officer,"Firearms Training, Investigation, Law Enforcement, Traffic Control, Physical Fitness"
Doctor,"Surgery, Diagnosis, Patient Care, Prescribing, Anatomy, Physiology"
Architect,"Design, Building Codes, 3D Modeling"
UI/UX Designer,"User Research, Adobe XD, Figma"
Mechanical Engineer,"Thermodynamics, CAD, Maintenance, SolidWorks, Material Science"
Cloud Engineer,"Terraform, Cloud Architecture, Networking, GCP, Azure, Linux"
Mechanical Engineer,"Maintenance, CAD, Thermodynamics, Material Science, SolidWorks"
Civil Engineer,"Structural Design, AutoCAD, Site Supervision"
Nurse,"IV Insertion, Patient Monitoring, Medical Records"
Software Engineer,"Git, Python, OOP, Java, Linux, Agile"
Civil Engineer,"Project Management, AutoCAD, Structural Design, Concrete Technology"
Nurse,"Medical Records, First Aid, Emergency Response, Patient Monitoring, IV Insertion"
Police Officer,"Investigation, Law Enforcement, Traffic Control, Physical Fitness"
Mobile App Developer,"Swift, React Native, Java, Kotlin, Flutter"
Teacher,"Lesson Planning, Classroom Management, Communication, Student Assessment, Subject Knowledge"
UI/UX Designer,"User Research, Design Systems, Prototyping, Adobe XD"
Software Engineer,"Git, Agile, Java, Python"
Cloud Engineer,"Cloud Architecture, Terraform, GCP, AWS, Linux, Networking"
Police Officer,"Investigation, Physical Fitness, Law Enforcement, Traffic Control, Firearms Training"
DevOps Engineer,"Linux, Docker, AWS, Monitoring, Terraform, CI/CD"
Lawyer,"Legal Research, Court Procedures, Advocacy, Drafting, Civil Law"
Mobile App Developer,"Swift, React Native, Kotlin, Java, Flutter, Android Studio"
Plumber,"Blueprint Reading, Water Systems, Pipe Fitting, Sanitation, Repair"
Product Manager,"Customer Research, Wireframing, Scrum"
HR Manager,"Training, Recruitment, Payroll"
HR Manager,"Payroll, Recruitment, Compliance, Employee Relations, Training"
DevOps Engineer,"AWS, CI/CD, Terraform, Docker, Kubernetes, Monitoring"
UI/UX Designer,"User Research, Wireframing, Design Systems, Prototyping"
Sales Executive,"Negotiation, Lead Generation, Target Achievement, CRM, Product Knowledge"
Accountant,"Taxation, Bookkeeping, Tally, Excel"
Accountant,"Excel, Taxation, Financial Analysis, Tally, Bookkeeping"
Mobile App Developer,"Java, Kotlin, React Native, Android Studio, Flutter"
Electrician,"Installation, Wiring, Troubleshooting, Safety Compliance"
Machine Learning Engineer,"Scikit-learn, PyTorch, Keras, TensorFlow"
Teacher,"Subject Knowledge, Communication, Student Assessment"
UI/UX Designer,"Prototyping, Adobe XD, User Research"
Electrician,"Troubleshooting, Safety Compliance, Wiring, Circuit Design, Installation"
Doctor,"Anatomy, Patient Care, Physiology, Diagnosis, Prescribing, Surgery"
Professor,"Teaching, Research, Academic Writing, Grading, Seminars"
Machine Learning Engineer,"Keras, PyTorch, ML algorithms"
Machine Learning Engineer,"Python, Scikit-learn, NLP, ML algorithms, Keras"
AI Researcher,"NLP, Research, Python, Mathematics, TensorFlow, Deep Learning"
HR Manager,"Compliance, Recruitment, Training, Employee Relations, Payroll"
Doctor,"Physiology, Prescribing, Diagnosis, Anatomy, Patient Care, Surgery"
Teacher,"Classroom Management, Lesson Planning, Subject Knowledge, Student Assessment, Communication"
Web Developer,"HTML, CSS, React, Express, Node.js, JavaScript"
Machine Learning Engineer,"Keras, TensorFlow, PyTorch, Scikit-learn, Python"
Accountant,"Excel, Financial Analysis, Taxation, Tally"
Architect,"3D Modeling, Blueprints, Building Codes, Design, AutoCAD"
HR Manager,"Employee Relations, Payroll, Training, Recruitment"
Cybersecurity Analyst,"IDS/IPS, Python, Ethical Hacking, Firewalls, Networking"
AI Researcher,"NLP, Python, TensorFlow, Mathematics, Deep Learning"
Lawyer,"Civil Law, Court Procedures, Advocacy, Legal Research"
Plumber,"Repair, Water Systems, Sanitation, Pipe Fitting, Blueprint Reading"
Web Developer,"Express, MongoDB, HTML, Node.js"
Product Manager,"Customer Research, Wireframing, Roadmaps, Agile"
Army Personnel,"Strategy, Combat Training, Discipline"
Mobile App Developer,"Kotlin, React Native, Android Studio, Swift"
Cybersecurity Analyst,"Networking, Python, Ethical Hacking, Vulnerability Assessment"
Civil Engineer,"Concrete Technology, AutoCAD, Project Management"
Mechanical Engineer,"Maintenance, Material Science, CAD, SolidWorks, Thermodynamics"
Product Manager,"Roadmaps, Analytics, Scrum"
Machine Learning Engineer,"ML algorithms, Keras, NLP, Python, PyTorch, TensorFlow"
UI/UX Designer,"Adobe XD, Design Systems, Wireframing, Figma, Prototyping, User Research"
Journalist,"Reporting, Writing, Editing"
Business Analyst,"Excel, Requirement Gathering, UML, Data Modeling, SQL, Power BI"
UI/UX Designer,"Adobe XD, Design Systems, Figma, User Research"
Doctor,"Surgery, Diagnosis, Patient Care"
Nurse,"IV Insertion, Emergency Response, Medical Records, Patient Monitoring, First Aid"
DevOps Engineer,"Kubernetes, Monitoring, Terraform"
Police Officer,"Law Enforcement, Physical Fitness, Traffic Control, Firearms Training, Investigation"
Cybersecurity Analyst,"Networking, Ethical Hacking, Firewalls, Vulnerability Assessment, Python"
Data Scientist,"NumPy, Scikit-learn, Pandas"
Cloud Engineer,"Azure, Networking, GCP"
Product Manager,"Roadmaps, Scrum, Agile"
Web Developer,"MongoDB, React, CSS, HTML, Node.js"
Mobile App Developer,"Java, React Native, Swift, Kotlin"
Data Scientist,"NumPy, Python, Jupyter, Scikit-learn, SQL, Matplotlib"
Army Personnel,"Combat Training, First Aid, Strategy, Survival Skills"
Journalist,"Interviewing, Reporting, Research, Writing, Editing"
UI/UX Designer,"Prototyping, Figma, Adobe XD, Design Systems, User Research"
Professor,"Academic Writing, Grading, Teaching"
Cloud Engineer,"Azure, Terraform, Cloud Architecture, AWS, GCP"
Mechanical Engineer,"CAD, Maintenance, Thermodynamics, SolidWorks, Material Science"
Sales Executive,"Negotiation, Product Knowledge, Lead Generation, CRM"
Accountant,"Tally, Taxation, Financial Analysis, Excel"
Professor,"Grading, Seminars, Research"
AI Researcher,"Research, Python, Deep Learning, NLP, Mathematics"
Electrician,"Safety Compliance, Installation, Wiring, Circuit Design, Troubleshooting"
Product Manager,"Roadmaps, Scrum, Wireframing, Agile, Customer Research"
DevOps Engineer,"Docker, Linux, Kubernetes, Terraform, CI/CD"
Lawyer,"Criminal Law, Drafting, Civil Law, Advocacy, Court Procedures, Legal Research"
HR Manager,"Employee Relations, Recruitment, Payroll, Compliance, Training"
DevOps Engineer,"Kubernetes, Docker, Terraform, AWS, CI/CD, Monitoring"
Army Personnel,"Combat Training, Survival Skills, Discipline"
Police Officer,"Firearms Training, Traffic Control, Law Enforcement, Investigation, Physical Fitness"
Cloud Engineer,"Cloud Architecture, Linux, GCP"
Accountant,"Tally, Excel, Financial Analysis, Taxation, Bookkeeping"
Police Officer,"Physical Fitness, Firearms Training, Investigation, Traffic Control"
Cloud Engineer,"GCP, Terraform, AWS, Cloud Architecture"
Mechanical Engineer,"Maintenance, Thermodynamics, CAD, Material Science"
DevOps Engineer,"AWS, Kubernetes, Linux, Monitoring"
Civil Engineer,"Concrete Technology, Structural Design, AutoCAD, Site Supervision, Project Management"
Doctor,"Physiology, Patient Care, Surgery, Diagnosis"
Cybersecurity Analyst,"Vulnerability Assessment, IDS/IPS, Networking, Firewalls, Ethical Hacking, Python"
Teacher,"Lesson Planning, Communication, Classroom Management, Subject Knowledge, Student Assessment"
Lawyer,"Drafting, Civil Law, Legal Research, Criminal Law"
Mechanical Engineer,"Maintenance, Material Science, CAD, Thermodynamics, SolidWorks"
Electrician,"Circuit Design, Installation, Wiring"
Nurse,"Patient Monitoring, Medical Records, First Aid"
Cybersecurity Analyst,"Vulnerability Assessment, IDS/IPS, Python, Ethical Hacking"
Plumber,"Pipe Fitting, Sanitation, Repair"
Plumber,"Repair, Sanitation, Water Systems, Pipe Fitting"
Police Officer,"Traffic Control, Law Enforcement, Investigation, Physical Fitness, Firearms Training"
Civil Engineer,"AutoCAD, Site Supervision, Project Management, Structural Design"
Plumber,"Sanitation, Repair, Blueprint Reading, Pipe Fitting, Water Systems"
Web Developer,"MongoDB, React, Node.js, JavaScript, CSS"
Nurse,"First Aid, IV Insertion, Emergency Response, Patient Monitoring, Medical Records"
HR Manager,"Payroll, Compliance, Recruitment, Training"
Software Engineer,"Linux, C++, Java"
Cloud Engineer,"Networking, AWS, GCP, Linux, Cloud Architecture"
Product Manager,"Analytics, Agile, Roadmaps, Wireframing, Scrum, Customer Research"
